NUMERO_BOLETIM;DATAHORA_BOLETIM;DATA_INCLUSAO;TIPO_ACIDENTE;DESC_TIPO_ACIDENTE;COD_TEMPO;DESC_TEMPO;COD_PAVIMENTO;PAVIMENTO;COD_REGIONAL;DESC_REGIONAL;ORIGEM_BOLETIM;LOCAL_SINALIZADO;VELOCIDADE_PERMITIDA;COORDENADA_X;COORDENADA_Y;HORA_INFORMADA;INDICADOR_FATALIDADE;VALOR_UPS;DESCRIÇÃO_UPS;DATA_ALTERACAO_SMSA;VALOR_UPS_ANTIGA;DESCRIÇÃO_UPS_ANTIGA
2021-007245732-001;11/02/202118:07;11/02/202118:18;H08002;CHOQUEMECANICOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;24;OESTE;POLICIAMILITAR;NÃO;0;0000611865.06;0007802912.09;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007247757-001;11/02/202117:45;11/02/202118:28;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;22;NOROESTE;POLICIAMILITAR;NÃO;0;0000607988.26;0007797689.85;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007258506-001;11/02/202119:24;11/02/202119:26;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;23;NORTE;POLICIAMILITAR;NÃO;0;0000610750.61;0007806331.28;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007260590-001;11/02/202118:33;11/02/202119:38;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;26;VENDANOVA;POLICIAMILITAR;NÃO;0;0000608095.90;0007808539.43;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007277164-001;11/02/202120:51;11/02/202121:19;H01002;ABALROAMENTOCOMVITIMA;2;CHUVA;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000608945.94;0007803758.79;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007282204-001;11/02/202121:18;11/02/202121:51;H01002;ABALROAMENTOCOMVITIMA;2;CHUVA;1;ASFALTO;23;NORTE;POLICIAMILITAR;NÃO;0;0000609835.19;0007807999.26;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007288270-001;11/02/202122:10;11/02/202122:32;H01002;ABALROAMENTOCOMVITIMA;2;CHUVA;1;ASFALTO;18;BARREIRO;POLICIAMILITAR;NÃO;0;0000602185.84;0007790509.68;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007289250-001;11/02/202122:13;11/02/202122:40;H01002;ABALROAMENTOCOMVITIMA;2;CHUVA;1;ASFALTO;25;PAMPULHA;POLICIAMILITAR;NÃO;60;0000611859.31;0007803247.79;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007290029-001;11/02/202122:42;11/02/202122:44;H04000;QUEDADEPESSOADEVEICULO;0;NAOINFORMADO;0;NAOINFORMADO;23;NORTE;POLICIAMILITAR;NÃO;0;0000611384.61;0007805885.27;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007298460-001;11/02/202123:39;11/02/202123:46;H04000;QUEDADEPESSOADEVEICULO;2;CHUVA;1;ASFALTO;22;NOROESTE;POLICIAMILITAR;NÃO;0;0000604783.63;0007797789.45;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
